,Title,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Horror,Sci-Fi,Drama,Thriller,Comedy,Adventure,Action,Adult,Mystery,Crime,Romance,War,Fantasy,Animation,Musical,Family,Western,Title_Dead,Title_Zombie
112,Dellamorte dellamore,movie,7.1,105.0,1994,"Comedy, Horror",22016,1994-03-25,Michele Soavi,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
206,Shatter Dead,movie,4.2,84.0,1994,Horror,704,1994-12-13,Scooter McCrae,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
137,The Rage,movie,4.5,93.0,1997,"Action, Thriller",585,1997-06-25,Sidney J. Furie,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
169,Cure,movie,7.4,111.0,1997,"Crime, Horror, Mystery, Thriller",17459,1997-11-06,Kiyoshi Kurosawa,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
20,Sang faa sau see,movie,6.4,94.0,1998,"Comedy, Horror, Sci-Fi",2550,1998-06-11,Wilson Yip,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
148,I Zombie: The Chronicles of Pain,movie,5.4,79.0,1998,"Drama, Horror",765,1998-12-31,Andrew Parkinson,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
151,Ravenous,movie,6.9,101.0,1999,"Adventure, Horror, Western",41133,1999-01-01,Antonia Bird,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
70,Wild Zero,movie,6.3,98.0,1999,"Comedy, Horror, Music, Sci-Fi, Thriller",3656,1999-08-28,Tetsuro Takeuchi,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Junk: Shiryô-gari,movie,5.4,83.0,2000,Horror,1164,2000-01-22,Atsushi Muroga,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
95,Versus,movie,6.3,119.0,2000,"Action, Drama, Fantasy, Horror, Thriller",13357,2000-10-29,Ryûhei Kitamura,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
